James Harden	2458	465	570	52
Stephen Curry	2222	424	454	25
Giannis Antetokounmpo	2176	923	457	118
Damian Lillard	2147	339	554	29
Anthony Davis	2117	852	230	191
Bradley Beal	2064	403	423	46
LeBron James	2006	635	627	51
Karl-Anthony Towns	2003	984	256	126
Devin Booker	1936	304	411	18
Donovan Mitchell	1918	334	323	33
Kemba Walker	1864	306	468	29
Kawhi Leonard	1833	496	251	50
Kyrie Irving	1780	283	468	25
Joel Embiid	1777	867	240	129
DeMar DeRozan	1760	417	414	29
CJ McCollum	1722	330	264	33
LaMarcus Aldridge	1684	691	170	96
Russell Westbrook	1670	676	656	29
Jimmy Butler	1660	433	383	47
Paul George	1654	507	276	30
Jrue Holiday	1642	371	471	59
Luka Doncic	1638	552	475	25
Blake Griffin	1603	515	367	24
Nikola Jokic	1599	889	573	61
Buddy Hield	1594	388	201	29
Zach LaVine	1593	321	303	23
Trae Young	1555	289	644	17
Julius Randle	1519	652	258	47
D'Angelo Russell	1517	313	435	21
Tobias Harris	1515	583	222	40
Khris Middleton	1504	460	333	13
John Collins	1450	744	142	88
Mike Conley	1429	251	448	23
Nikola Vucevic	1427	846	285	89
Lou Williams	1426	212	340	11
Jamal Murray	1417	331	352	29
Zion Williamson	1407	649	219	84
Andre Drummond	1389	1237	156	140
De'Aaron Fox	1387	295	568	41
Collin Sexton	1382	249	326	14
Ben Simmons	1378	679	674	70
Deandre Ayton	1377	778	140	105
Jayson Tatum	1376	488	174	61
Danilo Gallinari	1368	424	160	22
Kyle Kuzma	1361	434	171	32
Lauri Markkanen	1352	620	101	46
Marvin Bagley	1340	662	117	83
Andrew Wiggins	1335	338	172	46
Victor Oladipo	1319	341	323	31
Harrison Barnes	1291	383	125	15
Dennis Smith	1287	283	375	25
Pascal Siakam	1286	550	244	54
Aaron Gordon	1279	564	241	56
TJ Warren	1272	330	107	45
Ja Morant	1257	314	582	27
Kevin Love	1246	682	151	24
Jaylen Brown	1225	383	138	46
Kyle Lowry	1223	364	528	29
JJ Redick	1219	171	180	12
Gordon Hayward	1212	385	303	27
Brandon Ingram	1210	357	234	49
RJ Barrett	1205	428	223	26
Evan Fournier	1205	243	258	11
Rudy Gobert	1197	992	142	197
Goran Dragic	1191	274	390	11
Otto Porter	1188	456	177	46
Kristaps Porzingis	1180	410	72	108
Eric Gordon	1178	170	146	29
Bojan Bogdanovic	1173	360	150	11
Eric Bledsoe	1172	352	426	33
Dennis Schroder	1169	245	330	11
Gary Harris	1163	209	190	19
Reggie Jackson	1162	199	364	7
Jaren Jackson	1156	499	103	120
Malcolm Brogdon	1154	301	348	14
Jonas Valanciunas	1150	698	112	96
Clint Capela	1146	842	97	134
Jordan Clarkson	1139	233	208	11
Terry Rozier	1131	407	316	25
Tim Hardaway	1112	228	164	9
Josh Richardson	1111	280	237	66
Myles Turner	1110	587	131	185
Domantas Sabonis	1106	737	250	38
Marc Gasol	1104	564	309	87
Chris Paul	1100	310	534	17
Jeremy Lamb	1097	363	203	30
Derrick Favors	1094	642	114	114
Montrezl Harrell	1092	529	170	99
Caris LeVert	1085	296	314	41
Steven Adams	1079	786	117	78
Rodney Hood	1077	200	146	15
Bogdan Bogdanovic	1076	264	295	19
Thomas Bryant	1073	706	145	102
Kevin Knox	1070	363	107	36
Taurean Prince	1061	337	178	32
Serge Ibaka	1048	564	78	92
Enes Kanter	1044	703	133	34
Miles Bridges	1042	447	140	71
Darius Garland	1029	214	233	8
Paul Millsap	1000	516	174	66
Brook Lopez	997	372	110	152
Hassan Whiteside	994	846	65	149
Shai Gilgeous-Alexander	994	264	352	43
Dario Saric	994	474	162	16
Rui Hachimura	986	492	139	71
Will Barton	985	357	256	39
Al Horford	982	534	311	95
Tyler Herro	962	229	156	26
Dejounte Murray	960	516	307	35
Fred VanVleet	952	207	333	22
Ricky Rubio	952	302	564	10
Alex Len	945	541	99	85
Kelly Oubre	941	352	101	52
De'Andre Hunter	939	398	167	33
Terrence Ross	937	228	112	27
Wendell Carter	937	640	132	103
D.J. Augustin	936	197	391	0
Jeff Teague	931	207	525	26
Rudy Gay	918	414	155	40
Kent Bazemore	918	307	200	49
Nicolas Batum	912	374	371	35
Josh Jackson	912	362	158	50
Justise Winslow	911	428	293	31
Isaiah Thomas	909	136	301	9
Spencer Dinwiddie	909	183	340	20
Bobby Portis	908	487	103	28
Kevin Huerter	894	264	224	20
Derrick White	885	293	277	54
Joe Ingles	885	335	357	31
Marcus Morris	880	370	97	20
Kelly Olynyk	878	427	179	45
Joe Harris	874	259	142	15
Bam Adebayo	869	662	190	87
Jabari Parker	866	363	118	26
Robert Covington	863	342	162	59
Malik Monk	857	161	177	22
Dion Waiters	854	184	217	20
Jerami Grant	849	348	98	99
Dillon Brooks	844	220	110	16
Jarrett Allen	837	612	88	114
Dwight Howard	836	647	71	83
Lonzo Ball	826	437	612	44
Rondae Hollis-Jefferson	825	437	148	48
Willie Cauley-Stein	819	503	166	61
Kentavious Caldwell-Pope	817	236	114	15
Luke Kennard	817	250	164	17
Draymond Green	817	602	580	97
Mitchell Robinson	815	671	59	220
Ish Smith	812	228	344	17
Wesley Matthews	806	170	141	14
Mario Hezonja	799	348	131	16
DeMarre Carroll	799	388	114	22
DeAndre Jordan	798	936	139	78
Thaddeus Young	797	372	127	25
Derrick Rose	778	141	203	10
Jonathan Isaac	775	424	90	107
Bryn Forbes	775	186	133	0
Klay Thompson	769	135	85	19
Elfrid Payton	766	297	416	27
OG Anunoby	761	302	79	29
Markieff Morris	760	348	112	31
Avery Bradley	755	207	143	16
James Johnson	750	317	245	61
Cedi Osman	748	288	139	16
Jae Crowder	748	292	105	24
Markelle Fultz	746	237	252	24
Tyler Johnson	746	211	175	33
Marcus Smart	745	319	270	39
Norman Powell	728	212	129	19
Dewayne Dedmon	727	550	96	71
Seth Curry	720	161	113	14
Kris Dunn	720	246	344	32
JaVale McGee	720	457	60	110
JaMychal Green	711	526	79	34
Allen Crabbe	705	235	86	23
Tomas Satoransky	704	281	288	17
Dwight Powell	700	367	148	40
Danny Green	693	280	124	59
Zach Collins	690	427	103	85
Jeff Green	686	222	93	22
Delon Wright	686	256	254	30
C.J. Miles	685	175	62	21
Austin Rivers	681	135	160	17
George Hill	680	189	217	19
Frank Kaminsky	675	237	103	27
Anfernee Simons	669	157	157	10
Cody Zeller	666	451	122	57
Taj Gibson	664	410	70	43
Tristan Thompson	662	656	98	40
Landry Shamet	661	132	148	7
Larry Nance	659	563	166	44
Monte Morris	652	148	235	0
Davis Bertans	649	272	111	36
Tony Snell	647	216	99	19
Gerald Green	639	170	37	24
Patrick Beverley	639	335	335	39
Patty Mills	638	134	183	5
Courtney Lee	631	167	119	11
Josh Hart	629	273	103	32
Kevon Looney	627	483	117	82
Brandon Clarke	620	404	89	79
Trey Lyles	617	298	79	27
Aaron Holiday	614	137	221	21
Robin Lopez	609	290	82	80
Trey Burke	607	96	213	3
Trevor Ariza	606	253	136	14
Al-Farouq Aminu	604	458	84	31
Dante Exum	603	138	227	9
Stanley Johnson	601	272	113	18
Maurice Harkless	600	267	85	55
Michael Kidd-Gilchrist	599	341	80	43
Ivica Zubac	594	445	86	69
Mikal Bridges	594	279	140	38
Jakob Poeltl	592	479	94	91
Gorgui Dieng	591	402	90	51
Marvin Williams	588	331	72	30
Kyle Anderson	588	397	206	59
Justin Holiday	587	201	102	21
Doug McDermott	578	143	70	11
Justin Jackson	574	214	94	14
Kyle Korver	573	153	85	17
Shabazz Napier	573	131	153	16
P.J. Tucker	561	467	94	32
Jusuf Nurkic	558	367	100	53
Emmanuel Mudiay	557	153	190	15
Ersan Ilyasova	557	322	65	22
Michael Porter	548	196	96	16
Pau Gasol	544	454	131	35
Alfonzo McKinnie	534	390	45	21
Royce O'Neale	532	313	127	26
Mason Plumlee	528	322	170	44
Evan Turner	526	236	202	23
Willy Hernangomez	525	377	69	29
Josh Okogie	519	202	129	29
Lonnie Walker	518	159	132	17
Troy Brown	518	266	136	19
Rajon Rondo	517	284	454	9
Anthony Tolliver	516	224	68	20
Jalen Brunson	509	145	205	5
DeAndre' Bembry	505	261	147	29
Denzel Valentine	502	243	146	6
Mohamed Bamba	500	384	62	100
Cory Joseph	495	213	224	16
Mike Muscala	492	253	71	34
Tyus Jones	489	144	310	8
Marquese Chriss	488	318	69	66
J.J. Barea	482	120	250	0
Goga Bitadze	477	323	67	74
Boban Marjanovic	476	311	64	31
Nerlens Noel	468	403	57	85
Ante Zizic	462	321	45	42
Bismack Biyombo	460	418	57	88
Nemanja Bjelica	459	270	89	26
Jahlil Okafor	457	227	37	42
Daniel Theis	454	289	82	51
Jordan Bell	450	368	165	97
Wilson Chandler	445	232	85	19
Greg Monroe	443	271	91	25
Luke Kornet	443	258	54	60
Aron Baynes	433	353	74	52
Khem Birch	429	280	61	71
Pat Connaughton	426	209	99	21
Ed Davis	423	622	57	47
Noah Vonleh	419	396	92	36
James Ennis	417	196	54	18
Thon Maker	417	248	45	61
T.J. McConnell	389	156	254	10
Matisse Thybulle	366	139	71	48
Richaun Holmes	363	192	77	36
Andre Roberson	361	316	75	56
Jaxson Hayes	354	226	34	80
Tyler Ulis	334	185	162	40
Kenneth Faried	328	227	28	23
John Henson	319	278	41	44
Tyson Chandler	311	385	40	33
Andre Iguodala	309	186	162	32
Bruno Fernando	306	231	50	33
Kyle O'Quinn	286	227	81	51
Amir Johnson	274	211	76	34
Jonah Bolden	261	214	51	48
Damian Jones	258	150	53	44
Kosta Koufos	253	250	41	21
DeMarcus Cousins	224	125	39	19
Tyler Zeller	196	135	26	16
Timofey Mozgov	178	110	16	20
Ian Mahinmi	142	123	22	23
Joakim Noah	141	133	41	25